SYNSET_ID	TEXT	PARENTS	PARENT_TEXTS
3722-V	СНАБЖАТЬ ГОРЯЧЕЙ ВОДОЙ	["5077-V", "106501-V"]	["ТЕПЛОФИЦИРОВАТЬ; ОБЕСПЕЧИТЬ ТЕПЛОМ; СНАБЖАТЬ ТЕПЛОМ; ОБЕСПЕЧИВАТЬ ТЕПЛОМ", "ПОДЕЛАТЬ"]
3722-V	СНАБЖАТЬ ГОРЯЧЕЙ ВОДОЙ	["489-V", "112144-V"]	["СНАБДИТЬ ВОДОЙ; ОБЕСПЕЧИВАТЬ ВОДОЙ; ОБЕСПЕЧИТЬ ВОДОЙ; ПОДАВАТЬ ВОДУ; ПОДАТЬ ВОДУ; СНАБЖАТЬ ВОДОЙ", "ОБЕСПЕЧИТЬ; ОБЕСПЕЧИВАТЬ; СНАБЖАТЬ; СНАБДИТЬ; ОБЕСПЕЧИВАТЬСЯ"]
9092-V	ОБВОДНЯТЬ; ОБВОДНИТЬ	["489-V", "112144-V"]	["СНАБДИТЬ ВОДОЙ; ОБЕСПЕЧИВАТЬ ВОДОЙ; ОБЕСПЕЧИТЬ ВОДОЙ; ПОДАВАТЬ ВОДУ; ПОДАТЬ ВОДУ; СНАБЖАТЬ ВОДОЙ", "ОБЕСПЕЧИТЬ; ОБЕСПЕЧИВАТЬ; СНАБЖАТЬ; СНАБДИТЬ; ОБЕСПЕЧИВАТЬСЯ"]
8947-V	НАПЕЧАТАТЬ ОФСЕТНЫМ СПОСОБОМ; ПЕЧАТАТЬ ОФСЕТНЫМ СПОСОБОМ	["114107-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
9531-V	ПЕРЕПЛЕТАТЬ; ПЕРЕПЛЕСТИ	["106501-V", "7064-V", "106529-V"]	["ПОДЕЛАТЬ", "ОКАЗЫВАТЬ УСЛУГИ; ПРЕДОСТАВЛЯТЬ УСЛУГИ", "ОБСЛУЖИВАТЬ; ОБСЛУЖИТЬ"]
9531-V	ПЕРЕПЛЕТАТЬ; ПЕРЕПЛЕСТИ	["114107-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
113521-V	НАБРАТЬ; НАБИРАТЬ; НАБИРАТЬ ТЕКСТ; НАБРАТЬ ТЕКСТ	["112077-V", "112078-V"]	["НАСОБИРАТЬ; ПОДСОБРАТЬ; ПОСОБИРАТЬ; СОБИРАТЬ; СОБИРАТЬ В ОДНОМ МЕСТЕ; СОБРАТЬ; СОБРАТЬ В ОДНОМ МЕСТЕ", "СОСТАВИТЬ; АРАНЖИРОВАТЬ; СОСТАВЛЯТЬСЯ; СОСТАВЛЯТЬ"]
113521-V	НАБРАТЬ; НАБИРАТЬ; НАБИРАТЬ ТЕКСТ; НАБРАТЬ ТЕКСТ	["114107-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
123596-V	НАВЕРСТАТЬ; СВЕРСТЫВАТЬСЯ; ВЕРСТАТЬ; СВЕРСТАТЬ; ЗАВЕРСТАТЬ; СВЕРСТЫВАТЬ	["106585-V", "106698-V"]	["РАСПОЛОЖИТЬ; РАСПРЕДЕЛИТЬСЯ; РАСПРЕДЕЛИТЬ; РАСПРЕДЕЛЯТЬ; РАСПРЕДЕЛЯТЬСЯ; РАЗМЕЩАТЬ; РАЗМЕСТИТЬ; РАСПОЛАГАТЬ", "ВОДВОРЯТЬ; НАЙТИ МЕСТО; ВОДВОРИТЬ; ПОМЕСТИТЬ; ПОМЕЩАТЬ"]
123596-V	НАВЕРСТАТЬ; СВЕРСТЫВАТЬСЯ; ВЕРСТАТЬ; СВЕРСТАТЬ; ЗАВЕРСТАТЬ; СВЕРСТЫВАТЬ	["114107-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
